Date,ESP Dennis,ESP Don,ESP Jake,ESP Roman,TOX Ogunquit River,TOX Spurwink River,TOX Basin Point,TOX Potts Point,TOX Lumbo's Hole,TOX Bear Island,TOX Head Beach,TOX Christmas Cove,TOX Port Clyde,TOX Stonington,TOX Bass Harbor,TOX Corea Harbor,TOX Ripley Point,TOX Kelley Point,TOX Cutler Harbor,TOX Lubec Channel,TOX Gove Point,TOX Gleason Cove,TOX Jonesport214,TOX Jonesport255,TOX Jonesport36,TOX Cross Island
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
