Date,ESP Jake,TOX Bass Harbor,TOX Cutler,TOX Lubec Channel,TOX Gove Point,TOX Gleason Cove,ESP Don,TOX Lumbos Hole,TOX Potts Point,TOX Basin Point,ESP Dennis,TOX Head Beach,TOX Christmas Cove,TOX Port Clyde
8/26/15,,1.245586055,1.3,8.5,1.8,,,,,,,,,0
8/27/15,,,,,,,,,,,,,0,
8/31/15,,,,,,43.06094178,,,,,,,,
9/1/15,,,,,,,,,,,,2.028172199,,
9/2/15,,0.482809708,0.6,13.4,5.9,,,0.380327478,0.513442096,0.424699017,,,,
9/3/15,,,,,,,,,,,,,0,0
9/6/15,,,,,,10.88661111,,,,,,,,
9/7/15,,,,,,,,0,0,0,,,,
9/8/15,,,,,,,,,,,,0,,
9/9/15,,0.234704194,12.3,1.1,4.3,,,,,,,,,
