alphas,gammas,2014v2:ESP_Jake:Potts_Point,2014v2:ESP_Jake:Basin_Point,2014v2:ESP_Jake:Head_Beach,2014v2:ESP_Don:York_River,2014v2:ESP_Don:Ogunquit,2014v2:ESP_Dennis:Christmas_Cove,2017:ESP3_Roman:Cutler_Harbor,2017:ESP3_Roman:Lubec_Channel,2017:ESP3_Roman:Gove_Point,2017:ESP3_Roman:Gleason_Cove,2019:ESP_Roman:Lubec_Channel,2019:ESP_Roman:Gove_Point,2019:ESP_Roman:Gleason_Cove,,method1_mean,method2_mean,method3_cumu
0.012,0.1,28.989225414998163,28.76241510605905,36.847411066175056,15.96954682863925,22.468844428593773,15.862983257246881,25.519441549797264,28.356556997312587,14.96846578509677,91.26711961661542,50.218075976627006,81.7824503510165,66.03502376318184,,,39.003658472412276,47.77814124498201
0.013,0.1,27.348801201408843,26.775182052155458,34.33456040724021,20.08187484022052,18.719976320239628,14.801768364058592,29.792160645051975,24.821918943017014,18.845299199675278,86.78953263884404,45.45364317516216,77.58114493500253,63.20911760635462,,,37.58115233295622,45.51977283842672
0.014,0.1,26.102321597335536,25.14630696032368,32.02787696774665,24.91716492303739,16.14805669641157,13.934091879327367,34.18352426046876,21.74328750129525,23.040077950592085,82.33934894266994,40.91943731844137,73.57640289452503,60.78115565869203,,,36.52761950391282,43.67633858319606
0.015,0.1,25.30806170000419,23.949022155059296,29.974994518560752,30.12933218680413,15.356289749705798,13.297892585465096,38.65311606985826,19.339674216301226,27.407200478922366,77.92126377963187,36.70088789774637,69.8020646244169,58.80045380182485,,,35.895404135715474,42.30211908570882
0.016,0.1,25.00914452506623,23.250098908352204,28.23133398085043,35.55300757687202,16.60136177696044,12.927391029992801,43.176648654477816,17.885329247731427,31.875910030816925,73.54106247400549,32.919570835146665,66.29749269940214,57.31340158162949,,,35.73705794779262,41.443816192340364
0.017,0.1,25.22318697873097,23.094827666313982,26.857190264672784,41.10455177978263,19.496883571184757,12.845598132623048,47.73879085432427,17.616939628813373,36.40882034029711,69.20593866623436,29.74271784689047,63.107646130128245,56.359087855251204,,,36.061706131942096,41.13373817638015
0.018,0.1,25.937492968217644,23.49398985377463,25.911419260845044,46.73842258559787,23.438971890706966,13.057940298611383,52.32944554944202,18.585953770230912,40.984635083525376,64.92492263855242,27.38153639464812,60.28250667818904,55.96477210135786,,,36.848616082592244,41.38420986894625
0.019,0.1,27.112551525310124,24.42041322716981,25.44183869011219,52.42808650027581,27.988855206395556,13.550597005818206,56.94171710503228,20.618640820662115,45.59043741143369,60.70946193673477,26.058702101320097,57.87550753288061,56.14225501616519,,,38.06762031379311,42.18524778789947
0.02,0.1,28.691808719089074,25.81739982543047,25.474795237254213,58.15717068331528,32.89529307366037,14.294614877667028,61.570747748467696,23.4398928562439,50.21797695925606,56.57421244482406,25.933598372409765,55.94064964257513,56.886184875640325,,,39.684180408910265,43.506451587223914
0.021,0.1,30.612772719192506,27.613623701544256,26.008378600949197,63.91507560203234,38.02049809255063,15.253255741063596,66.21302263014253,26.80183503067133,54.861753457880845,52.53811773307768,27.02286519486354,54.528216018318126,58.174834856432014,,,41.65878841374759,45.30233352523836
0.022,0.1,32.81548945490559,29.736826036730573,27.012938587731178,69.69465844708714,43.28683312712412,16.38890075076725,70.8659389933732,30.52634437643748,59.51796645673166,48.625874513429395,29.190873772470106,53.679461168212164,59.973101811586766,,,43.94732365358358,47.5191057395645
0.023,0.1,35.24717536763825,32.12223466963359,28.438608852450972,75.49094039960121,48.648486588089696,17.667449896616354,75.52753014023183,34.496182354643196,64.1839094002101,44.86989063431342,32.220601008097354,53.42125897001145,62.23682688485144,,,46.505468858952995,50.10093105002519
0.024,0.1,37.863741537954375,34.715841142440794,30.22586019296739,81.3003498657511,54.07711392644582,19.060166966612304,80.19628336047234,38.63580009756684,68.85760434928395,41.3128073961709,35.89450231592475,53.76211880157499,64.91733551178135,,,49.29380965114977,52.99448148822989
0.025,0.1,40.62948441382096,37.47444223610675,32.31475365790153,87.12026075310101,59.5544031292588,20.543845907121874,84.8710167057113,42.896072750216966,73.53757327808067,38.01050618512447,40.03562929635369,54.69084087477995,67.9653325502466,,,52.28032013367881,56.151587142918764
0.026,0.1,43.515969629973426,40.3642235675525,34.650779387495035,92.94870046751846,65.06806660503244,22.10017433032458,89.5507936568263,47.244371322762525,78.22269010085274,35.035106136903174,44.513774039777694,56.178277675704365,71.33372664346254,,,55.44051181262968,59.53033095378143
0.027,0.1,46.50071774246676,43.358964426510006,37.18739368354262,98.78415937299873,70.60958383617495,23.71485330168936,94.2348628085819,51.65847212270836,82.91208214535092,32.476580787964096,49.23706626958923,58.181593645145114,74.97934938691496,,,58.756590733049,63.09511678886253
0.028,0.1,49.5659804393729,46.43836319995898,39.886344961811965,104.6254629952811,76.17287604839996,25.37674702804312,98.9226144449055,56.12285112590609,87.60506287206923,30.440228208879354,54.141383985539726,60.649690395180414,78.86376393241768,,,62.21625920290508,66.81617406039604
0.029,0.1,52.69770974048089,49.586650278751314,42.71687381438953,110.47168420206712,81.75349802680125,27.07716331606183,103.61354875090909,60.626402260294206,92.30108489091224,29.03611963087626,59.181740210689995,63.528420415085826,82.95343174428254,,,65.81110209858477,70.66882172410679
0.03,0.1,55.88473257958377,52.79150238122621,45.654513809263584,116.32208153838604,87.34812826796974,28.80928179734463,108.30725219013262,65.16100397961802,96.99970649098883,28.35832415899908,64.32616449255887,66.76468831128285,87.21948500295552,,,69.53437423079305,74.63268389930455
0.031,0.1,59.118107105312085,56.04321627182705,48.679877593004896,122.1760550841367,92.95423746329915,30.56771373569966,113.00337970731401,69.72059799166243,101.70056736673097,28.458784427195553,69.5515682910464,70.30913994376415,91.63729284341842,,,73.37850290957012,78.69095591291888
0.032,0.1,62.39062724931248,59.33408788494596,51.77759034952845,128.03311430227126,98.56986705385842,32.348168252488286,117.70164115105699,74.30058334277466,106.40337072748395,29.329504413111284,74.84099153957439,74.11757459215104,96.18594733443277,,,77.3333129379223,82.82976200195112
0.033,0.1,65.69644341997592,62.65794769069717,54.93541454254412,133.892854250973,104.19347771244341,34.14720071205895,122.401790796162,78.89740896833445,111.10786991795051,30.90544941013232,80.18176555159785,78.15140892317004,100.84774483862458,,,81.38590590266648,87.03761427363627
