alphas,gammas,2014v2:ESP_Jake:Potts_Point,2014v2:ESP_Jake:Basin_Point,2014v2:ESP_Jake:Head_Beach,2014v2:ESP_Don:York_River,2014v2:ESP_Don:Ogunquit,2014v2:ESP_Dennis:Christmas_Cove,2017:ESP3_Roman:Cutler_Harbor,2017:ESP3_Roman:Lubec_Channel,2017:ESP3_Roman:Gove_Point,2017:ESP3_Roman:Gleason_Cove,2019:ESP_Roman:Lubec_Channel,2019:ESP_Roman:Gove_Point,2019:ESP_Roman:Gleason_Cove,,method1_mean,method2_mean,method3_cumu
0.0,0.0,59.00995267956625,57.08646329487551,69.73387841306246,55.62249642764641,81.65939871836385,33.93534633338722,34.67221646725497,69.56183730454272,40.36533147916341,109.21454987554976,90.00882586572412,126.83576089883627,60.408702779410234,,,68.31652004133717,74.78336227975014
0.0,0.005,59.62107730942569,58.24982706763094,70.47161482828875,56.63180781395741,82.37509015967514,34.096019089206905,34.83234041692722,70.30049406663717,40.85708417799352,104.72086904977981,92.9888531515015,128.65395568915633,67.4663169835738,,,69.32810383105802,75.68717776934491
0.0,0.01,60.139470489621345,59.237425637912544,71.09287169875992,57.49458770654696,82.97589048116124,34.23625771652951,34.97568021638109,71.16064928661874,41.36430783533313,103.94044251675771,95.73916083195897,130.27216078636937,74.30499915189651,,,70.53337725814207,76.98277421809127
0.0,0.015,60.579185729552904,60.07490093952026,71.6158070148144,58.23206412443105,83.48051330457821,34.35876481691568,35.1034557448402,72.05895824206745,41.86063734316665,105.44056459721239,98.21155832415094,131.69762693293347,80.48039144790081,,,71.78418681246804,78.42733523783139
0.0,0.02,60.952280209902746,60.784806313750565,72.05592517372845,58.86250142834369,83.90464452105888,34.465884415928514,35.21706213875149,72.94703955420643,42.33192601273178,108.1927907277254,100.40162630753271,132.9454679693385,85.8923037269792,,,72.99648142307525,79.88368010657267
0.0,0.025,61.26902800761075,61.38664690263519,72.42638049740573,59.40156259523955,84.26141512423953,34.55964798596783,35.317919226879354,73.79812489108207,42.77136480817668,111.53348569142992,102.3256811574144,134.0337655726577,90.5726571069131,,,74.12751381289628,81.27895561747977
0.0,0.03,61.538144431024996,61.897114415743786,72.73828556756277,59.86264953667593,84.56180783093757,34.64181519498759,35.40739008939833,74.59858828407188,43.176467976173335,115.06491035287833,104.00862515954461,134.98096763486257,94.59851383264593,,,75.15963694665444,82.57810190774461
0.0,0.035,61.76700082492412,62.33039687517195,73.00100103212962,60.257211756940315,84.81500345153623,34.713909759301636,35.48674054273835,75.34266826303094,43.54723199601152,118.562063939122,105.47770161023104,135.80457953027593,98.05672783817599,,,76.08940287842998,83.76762855903107
0.0,0.04,61.96182030121549,62.69850218546543,73.22239669779452,60.595020433488905,85.02867403038545,34.777250840567,35.55712246692594,76.02921431187501,43.885020604696564,121.90536384539571,106.75941975979126,136.5205748946386,101.02998081736153,,,76.92079701458474,84.84595866203887
0.0,0.045,62.12785093825077,63.011565613292795,73.40908082638704,60.88440851969218,85.2092298210992,34.8329804428591,35.6195706716803,76.65969583151123,44.19189546588434,125.03728543825642,107.87816587304982,137.14319867942268,103.59186216050843,,,77.66129156014571,85.81777898376598
