betas,gammas,2014v2:ESP_Jake:Potts_Point,2014v2:ESP_Jake:Basin_Point,2014v2:ESP_Jake:Head_Beach,2014v2:ESP_Don:York_River,2014v2:ESP_Don:Ogunquit,2014v2:ESP_Dennis:Christmas_Cove,2017:ESP3_Roman:Cutler_Harbor,2017:ESP3_Roman:Lubec_Channel,2017:ESP3_Roman:Gove_Point,2017:ESP3_Roman:Gleason_Cove,2019:ESP_Roman:Lubec_Channel,2019:ESP_Roman:Gove_Point,2019:ESP_Roman:Gleason_Cove,,method1_mean,method2_mean,method3_cumu
0,0,59.0099526795663,57.0864632948755,69.7338784130625,55.6224964276464,81.6593987183638,33.9353463333872,34.672216467255,69.5618373045427,40.3653314791634,109.21454987555,90.0088258657241,126.835760898836,60.4087027794102,,,68.3165200413372,74.7833622797501
0,0.005,59.6210773094257,58.2498270676309,70.4716148282887,56.6318078139574,82.3750901596751,34.0960190892069,34.8323404169272,70.3004940666372,40.8570841779935,104.72086904978,92.9888531515015,128.653955689156,67.4663169835738,,,69.328103831058,75.6871777693449
0,0.01,60.1394704896214,59.2374256379125,71.0928716987599,57.494587706547,82.9758904811613,34.2362577165295,34.9756802163811,71.1606492866187,41.3643078353331,103.940442516758,95.739160831959,130.272160786369,74.3049991518965,,,70.5333772581421,76.9827742180913
0,0.015,60.5791857295529,60.0749009395203,71.6158070148144,58.232064124431,83.4805133045782,34.3587648169157,35.1034557448402,72.0589582420674,41.8606373431667,105.440564597212,98.2115583241509,131.697626932933,80.4803914479008,,,71.784186812468,78.4273352378314
0,0.02,60.9522802099028,60.7848063137506,72.0559251737285,58.8625014283437,83.9046445210589,34.4658844159285,35.2170621387515,72.9470395542064,42.3319260127318,108.192790727725,100.401626307533,132.945467969339,85.8923037269792,,,72.9964814230753,79.8836801065727
0,0.025,61.2690280076107,61.3866469026352,72.4263804974057,59.4015625952395,84.2614151242395,34.5596479859678,35.3179192268794,73.7981248910821,42.7713648081767,111.53348569143,102.325681157414,134.033765572658,90.5726571069131,,,74.1275138128963,81.2789556174798
0,0.03,61.538144431025,61.8971144157438,72.7382855675628,59.8626495366759,84.5618078309376,34.6418151949876,35.4073900893983,74.5985882840719,43.1764679761733,115.064910352878,104.008625159545,134.980967634863,94.5985138326459,,,75.1596369466544,82.5781019077446
0,0.035,61.7670008249241,62.330396875172,73.0010010321296,60.2572117569403,84.8150034515362,34.7139097593016,35.4867405427384,75.3426682630309,43.5472319960115,118.562063939122,105.477701610231,135.804579530276,98.056727838176,,,76.08940287843,83.7676285590311
0,0.04,61.9618203012155,62.6985021854654,73.2223966977945,60.5950204334889,85.0286740303855,34.777250840567,35.5571224669259,76.029214311875,43.8850206046966,121.905363845396,106.759419759791,136.520574894639,101.029980817362,,,76.9207970145847,84.8459586620389
0,0.045,62.1278509382508,63.0115656132928,73.409080826387,60.8844085196922,85.2092298210992,34.8329804428591,35.6195706716803,76.6596958315112,44.1918954658843,125.037285438256,107.87816587305,137.143198679423,103.591862160508,,,77.6612915601457,85.817778983766
0,0.05,62.2695162320795,63.2781280145875,73.5665982489982,61.1324791930006,85.3620267086401,34.8820872544138,35.6750071269226,77.236991959344,44.4702191552828,127.93591031973,108.855697482698,137.684976590764,105.805793709693,,,78.3196486150888,86.6907820545935
0,0.055,62.3905442081212,63.5053805208845,73.6995996970427,61.3452857069408,85.4915400223772,34.9254273521046,35.7242488945733,77.764662386359,44.7224240478793,130.599206245487,109.71108662972,138.15682614656,107.725536095843,,,78.9047513810687,87.4738207506196
0,0.06,62.4940773190071,63.6993759495941,73.8119854749812,61.5279859021109,85.6015099545837,34.9637421526133,35.7680176219671,78.2465138230598,44.9508819439633,133.035810336595,110.460878112577,138.568211123841,109.396271524979,,,79.4250200953748,88.175891201083
0,0.065,62.5827654717986,63.8652093837462,73.9070267516374,61.6849745430416,85.6950630866506,34.9976739572407,35.8069493778332,78.6863478495468,45.1578345557628,135.259675817588,111.119337952888,138.92730781243,110.855817637459,,,79.8881526305864,88.805598150853
0,0.07,62.6588444807829,64.0071712562529,73.9874676038202,61.81999641824,85.7748138690582,35.0277794002451,35.8416041646478,79.0878197266958,45.3453604485099,137.286996553707,111.698726977327,139.241166668584,112.135782849678,,,80.3010408013499,89.370898611822
0,0.075,62.724202065454,64.1288764761067,74.0556106647381,61.9362428512697,85.8429493164273,35.0545410751547,35.8724747699476,79.4543647323895,45.5153635018806,139.134471088145,112.209567005963,139.515861524016,113.262591828863,,,80.6697782231043,89.879003493373
0,0.08,62.7804332832721,64.2333729873973,74.1133888981566,62.036433966652,85.9012996688691,35.0783775805691,35.8999948117182,79.7891652080677,45.6695737656369,140.818353242419,112.660884797986,139.756623252486,114.258363883407,,,80.9997127189721,90.3363664946843
0,0.085,62.8288870452009,64.3232328448149,74.1624256846005,62.1228887600529,85.9513973320336,35.0996521969692,35.9245459429893,80.095141757249,45.8095551510026,142.353963148817,113.060428313684,139.967957350121,115.141650748466,,,81.2955174058463,90.7487188996416
0,0.09,62.8707051306977,64.4006285244541,74.2040850920566,62.1975847498479,85.9945260343564,35.1186803790972,35.9464642411074,80.3749583820116,45.9367165943886,143.755465850075,113.414854699446,140.153746188144,115.928049432983,,,81.5612665614358,91.1211263124197
0,0.095,62.906854908137,64.4673968208058,74.2395139212098,62.2622087418975,86.031761823526,35.1357362244892,35.9660458379023,80.6310352776283,46.052324681831,145.035803131306,113.729891745567,140.317337294,116.630708164949,,,81.8005091210192,91.4580536806294
